Event Name,Log Source,Event Count,Start Time,Low Level Category,Source IP,Source Port,URL (custom),Destination IP,Destination Port,Username,Magnitude
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:05:46 PM","Information","10.6.162.46","51369","cloud-ec-asn.amp.cisco.com:443/","52.6.103.57","443","N/A","7"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:05:18 PM","Access Permitted","10.6.162.46","51216","mpgops.service-now.com:443/","149.96.33.210","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:04:33 PM","Access Permitted","10.6.162.46","51223","N/A","52.6.103.57","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:03:43 PM","Access Permitted","10.6.162.46","51124","N/A","52.109.2.16","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:03:42 PM","Access Permitted","10.6.162.46","51126","nexus.officeapps.live.com:443/","52.109.12.23","443","wgonzalez","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:03:39 PM","Object Not Cached","10.6.162.46","51228","login.windows.net","40.126.2.37","443","wgonzalez","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:03:26 PM","Information","10.6.162.46","51228","login.windows.net:443/","40.126.2.37","443","wgonzalez","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:03:25 PM","Information","10.6.162.46","51223","cloud-ec-asn.amp.cisco.com:443/","52.6.103.57","443","N/A","7"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:03:16 PM","Access Permitted","10.6.162.46","51089","mpgops.service-now.com:443/","149.96.33.210","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:02:53 PM","Information","10.6.162.46","51188","slack.com:443/","13.225.206.153","443","N/A","7"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:02:53 PM","Object Not Cached","10.6.162.46","51188","slack.com","13.225.206.153","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:02:46 PM","Access Permitted","10.6.162.46","51125","N/A","52.6.103.57","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:02:18 PM","Access Permitted","10.6.162.46","51033","nexus.officeapps.live.com:443/","52.109.12.23","443","wgonzalez","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:02:07 PM","Object Not Cached","10.6.162.46","51127","login.windows.net","40.126.2.37","443","wgonzalez","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:01:54 PM","Object Not Cached","10.6.162.46","51128","nexusrules.officeapps.live.com","52.109.76.31","443","wgonzalez","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 1:01:53 PM","Information","10.6.162.46","51128","nexusrules.officeapps.live.com:443/","52.109.76.31","443","wgonzalez","7"
